date,airline,arr_flights,delay,carrier_delay,weather_delay,late_aircraft_delay,cancelled
2003-10-01,ATA Airlines d/b/a ATA,28,28,28,28,28,28
2003-10-01,AirTran Airways,38,38,38,38,38,38
2003-10-01,Alaska Airlines,45,45,45,45,45,45
2003-10-01,America West Airlines,50,50,50,50,50,50
2003-10-01,American Airlines,84,84,84,84,84,84
2003-10-01,American Eagle Airlines,99,99,99,99,99,99
2003-10-01,Atlantic Coast Airlines,84,84,84,84,84,84
2003-10-01,Atlantic Southeast Airlines,99,99,99,99,99,99
2003-10-01,Continental Air Lines,78,78,78,78,78,78
2003-10-01,Delta Air Lines,105,105,105,105,105,105
2003-10-01,ExpressJet Airlines,105,105,105,105,105,105
2003-10-01,JetBlue Airways,22,22,22,22,22,22
2003-10-01,Northwest Airlines,109,109,109,109,109,109
2003-10-01,SkyWest Airlines,105,105,105,105,105,105
2003-10-01,Southwest Airlines,59,59,59,59,59,59
2003-10-01,US Airways,58,58,58,58,58,58
2003-10-01,United Air Lines,78,78,78,78,78,78
2003-11-01,ATA Airlines d/b/a ATA,28,28,28,28,28,28
2003-11-01,AirTran Airways,37,37,37,37,37,37
2003-11-01,Alaska Airlines,45,45,45,45,45,45
2003-11-01,America West Airlines,50,50,50,50,50,50
2003-11-01,American Airlines,84,84,84,84,84,84
2003-11-01,American Eagle Airlines,100,100,100,100,100,100
2003-11-01,Atlantic Coast Airlines,81,81,81,81,81,81
2003-11-01,Atlantic Southeast Airlines,100,100,100,100,100,100
2003-11-01,Continental Air Lines,78,78,78,78,78,78
2003-11-01,Delta Air Lines,105,105,105,105,105,105
2003-11-01,ExpressJet Airlines,102,102,102,102,102,102
2003-11-01,Hawaiian Airlines,16,16,16,16,16,16
2003-11-01,JetBlue Airways,22,22,22,22,22,22
2003-11-01,Northwest Airlines,106,106,106,106,106,106
2003-11-01,SkyWest Airlines,105,105,105,105,105,105
2003-11-01,Southwest Airlines,59,59,59,59,59,59
2003-11-01,US Airways,58,58,58,58,58,58
2003-11-01,United Air Lines,77,77,77,77,77,77
2003-12-01,ATA Airlines d/b/a ATA,28,28,28,28,28,28
2003-12-01,AirTran Airways,37,37,37,37,37,37
2003-12-01,Alaska Airlines,46,46,46,46,46,46
2003-12-01,America West Airlines,50,50,50,50,50,50
2003-12-01,American Airlines,87,87,87,87,87,87
2003-12-01,American Eagle Airlines,102,102,102,102,102,102
2003-12-01,Atlantic Coast Airlines,81,81,81,81,81,81
2003-12-01,Atlantic Southeast Airlines,97,97,97,97,97,97
2003-12-01,Continental Air Lines,81,81,81,81,81,81
2003-12-01,Delta Air Lines,108,108,108,108,108,108
2003-12-01,ExpressJet Airlines,104,104,104,104,104,104
2003-12-01,Hawaiian Airlines,16,16,16,16,16,16
2003-12-01,JetBlue Airways,22,22,22,22,22,22
2003-12-01,Northwest Airlines,111,111,111,111,111,111
2003-12-01,SkyWest Airlines,103,103,103,103,103,103
2003-12-01,Southwest Airlines,59,59,59,59,59,59
2003-12-01,US Airways,59,59,59,59,59,59
2003-12-01,United Air Lines,81,81,81,81,81,81
2003-6-01,ATA Airlines d/b/a ATA,28,28,28,28,28,28
2003-6-01,AirTran Airways,39,39,39,39,39,39
2003-6-01,Alaska Airlines,46,46,46,46,46,46
2003-6-01,America West Airlines,52,53,52,52,52,52
2003-6-01,American Airlines,87,87,87,87,87,87
2003-6-01,American Eagle Airlines,94,94,94,94,94,94
2003-6-01,Atlantic Coast Airlines,83,83,83,83,83,83
2003-6-01,Atlantic Southeast Airlines,97,99,97,97,97,97
2003-6-01,Continental Air Lines,83,83,83,83,83,83
2003-6-01,Delta Air Lines,103,103,103,103,103,103
2003-6-01,ExpressJet Airlines,106,106,106,106,106,106
2003-6-01,JetBlue Airways,22,22,22,22,22,22
2003-6-01,Northwest Airlines,109,109,109,109,109,109
2003-6-01,SkyWest Airlines,98,98,98,98,98,98
2003-6-01,Southwest Airlines,59,59,59,59,59,59
2003-6-01,US Airways,61,61,61,61,61,61
2003-6-01,United Air Lines,78,78,78,78,78,78
2003-7-01,ATA Airlines d/b/a ATA,28,28,28,28,28,28
2003-7-01,AirTran Airways,39,39,39,39,39,39
2003-7-01,Alaska Airlines,46,46,46,46,46,46
2003-7-01,America West Airlines,52,52,52,52,52,52
2003-7-01,American Airlines,87,87,87,87,87,87
2003-7-01,American Eagle Airlines,95,95,95,95,95,95
2003-7-01,Atlantic Coast Airlines,84,84,84,84,84,84
2003-7-01,Atlantic Southeast Airlines,97,97,97,97,97,97
2003-7-01,Continental Air Lines,82,82,82,82,82,82
2003-7-01,Delta Air Lines,105,105,105,105,105,105
2003-7-01,ExpressJet Airlines,106,106,106,106,106,106
2003-7-01,JetBlue Airways,22,22,22,22,22,22
2003-7-01,Northwest Airlines,108,108,108,108,108,108
