date,airline,delay,cancelled
2003-10-01,ATA Airlines d/b/a ATA,44224.0,35.0
2003-10-01,AirTran Airways,132984.0,44.0
2003-10-01,Alaska Airlines,199114.0,295.0
2003-10-01,America West Airlines,156915.0,208.0
2003-10-01,American Airlines,499430.0,414.0
2003-10-01,American Eagle Airlines,367672.0,682.0
2003-10-01,Atlantic Coast Airlines,273979.0,368.0
2003-10-01,Atlantic Southeast Airlines,238562.0,263.0
2003-10-01,Continental Air Lines,178739.0,49.0
2003-10-01,Delta Air Lines,449372.0,247.0
2003-10-01,ExpressJet Airlines,240140.0,171.0
2003-10-01,JetBlue Airways,41521.0,11.0
2003-10-01,Northwest Airlines,289739.0,153.0
2003-10-01,SkyWest Airlines,276278.0,679.0
2003-10-01,Southwest Airlines,833750.0,997.0
2003-10-01,US Airways,255806.0,192.0
2003-10-01,United Air Lines,438132.0,283.0
2003-11-01,ATA Airlines d/b/a ATA,144632.0,98.0
2003-11-01,AirTran Airways,148417.0,76.0
2003-11-01,Alaska Airlines,223073.0,244.0
2003-11-01,America West Airlines,186091.0,97.0
2003-11-01,American Airlines,927226.0,958.0
2003-11-01,American Eagle Airlines,722188.0,1411.0
2003-11-01,Atlantic Coast Airlines,483821.0,744.0
2003-11-01,Atlantic Southeast Airlines,216327.0,333.0
2003-11-01,Continental Air Lines,328192.0,199.0
2003-11-01,Delta Air Lines,465180.0,260.0
2003-11-01,ExpressJet Airlines,355691.0,474.0
2003-11-01,Hawaiian Airlines,16646.0,10.0
2003-11-01,JetBlue Airways,54446.0,2.0
2003-11-01,Northwest Airlines,461815.0,357.0
2003-11-01,SkyWest Airlines,359539.0,645.0
2003-11-01,Southwest Airlines,744786.0,755.0
2003-11-01,US Airways,297559.0,272.0
2003-11-01,United Air Lines,856081.0,472.0
2003-12-01,ATA Airlines d/b/a ATA,110782.0,83.0
2003-12-01,AirTran Airways,326502.0,230.0
2003-12-01,Alaska Airlines,275010.0,235.0
2003-12-01,America West Airlines,217163.0,181.0
