month,airline,delay
2002-01,Continental Airlines,
2002-02,Air Tran Airlines(do not use,
2002-02,American Airlines,
2002-02,Delta (Song,
2002-04,USAir,
2002-06,Southwest Airlines,
2002-07,AirTran Airlines,
2002-07,American Airlines,
2002-07,Delta Air Lines,
2002-07,Northwest Airlines,
2002-07,Southwest Airlines,
2002-08,America West,
2002-08,Continental Airlines,
2002-08,Delta Air Lines,
2002-08,Southwest Airlines,
2002-09,America West,
2002-09,American Airlines,
2002-09,British Airways,
2002-09,Continental Airlines,
2002-09,Delta Air Lines,
2002-09,Jet Blue,
2002-09,Southwest Airlines,
2002-09,UAL,
2002-09,USAir,
2002-09,Virgin Atlantic,
2002-10,Alaska Airlines,
2002-10,American Airlines,
2002-10,Continental Airlines,
2002-10,Delta Air Lines,
2002-10,Jet Blue,
2002-10,Northwest Airlines,
2002-10,Southwest Airlines,
2002-10,UAL,
2002-10,USAir,
2002-10,Virgin Atlantic,
2002-11,Air Canada,
2002-11,AirTran Airlines,
2002-11,Alaska Airlines,
2002-11,Aloha Airlines,
2002-11,America West,
2002-11,American Airlines,
2002-11,American West,
2002-11,British Airways,
2002-11,Continental Airlines,
2002-11,Delta Air Lines,
2002-11,Frontier Airlines,
2002-11,Jet Blue,
2002-11,Northwest Airlines,
2002-11,Southwest Airlines,
2002-11,Spirit Airlines,
2002-11,Tran Meridian Airlines,
2002-11,UAL,
2002-11,USAir,
2002-12,Aero Mexico,
2002-12,Air Canada,
2002-12,AirTran Airlines,
2002-12,Alaska Airlines,
2002-12,America Trans Air,
2002-12,America West,
2002-12,American Airlines,
2002-12,British Airways,
2002-12,Continental Airlines,
2002-12,Delta Air Lines,
2002-12,Frontier Airlines,
2002-12,Jet Blue,
2002-12,Northwest Airlines,
2002-12,Southwest Airlines,
2002-12,Spirit Airlines,
2002-12,UAL,
2002-12,USAir,
2003-01,AirTran Airlines,
2003-01,Alaska Airlines,
2003-01,America Trans Air,
2003-01,America West,
2003-01,American Airlines,
2003-01,British Airways,
2003-01,Continental Airlines,
2003-01,Delta Air Lines,
2003-01,Frontier Airlines,
2003-01,Jet Blue,
2003-01,Lufthansa,
2003-01,Northwest Airlines,
2003-01,Southwest Airlines,
2003-01,Spirit Airlines,
2003-01,UAL,
2003-01,USAir,
2003-01,Virgin Atlantic,
2003-02,Air Canada,
2003-02,AirTran Airlines,
2003-02,Alaska Airlines,
2003-02,Aloha Airlines,
2003-02,America Trans Air,
2003-02,America West,
2003-02,American Airlines,
2003-02,British Airways,
2003-02,Continental Airlines,
2003-02,Delta Air Lines,
2003-02,Frontier Airlines,
2003-02,Horizon Air,
2003-02,Jet Blue,
2003-02,Lan Airlines,
2003-02,Lufthansa,
2003-02,Midwest Express Airlines,
2003-02,Northwest Airlines,
2003-02,Southwest Airlines,
2003-02,Spirit Airlines,
2003-02,UAL,
2003-02,USAir,
2003-03,Air Canada,
2003-03,Air Jamaica,
2003-03,AirTran Airlines,
2003-03,Alaska Airlines,
2003-03,Alitalia,
2003-03,Aloha Airlines,
2003-03,America Trans Air,
2003-03,America West,
2003-03,American Airlines,
2003-03,British Airways,
2003-03,Continental Airlines,
2003-03,Delta Air Lines,
2003-03,Frontier Airlines,
2003-03,Frontier Aviation,
2003-03,Hawaiian Airlines,
2003-03,Jet Blue,
2003-03,KLM Royal Dutch Airlines,
2003-03,Korean Airlines,
2003-03,Northwest Airlines,
2003-03,Qantus Airways,
2003-03,Southwest Airlines,
2003-03,Spirit Airlines,
2003-03,UAL,
2003-03,USAir,
2003-03,Virgin Atlantic,
2003-04,Aer Lingus,
2003-04,Air Canada,
2003-04,Air France,
2003-04,Air Tran Airlines(do not use,
2003-04,AirTran Airlines,
2003-04,Alaska Airlines,
2003-04,Aloha Airlines,
2003-04,America Trans Air,
2003-04,America West,
2003-04,American Airlines,
2003-04,British Airways,
2003-04,Continental Airlines,
2003-04,Delta Air Lines,
2003-04,Frontier Airlines,
2003-04,Hawaiian Airlines,
2003-04,Jet Blue,
2003-04,KLM Royal Dutch Airlines,
2003-04,Lufthansa,
2003-04,Northwest Airlines,
2003-04,Southwest Airlines,
2003-04,Spirit Airlines,
2003-04,UAL,
2003-04,USAir,
2003-04,Virgin Atlantic,
2003-05,ATA Aerocondor,
2003-05,Air Canada,
2003-05,Air France,
2003-05,Air Jamaica,
2003-05,AirTran Airlines,
2003-05,Alaska Airlines,
2003-05,Aloha Airlines,
2003-05,America Trans Air,
2003-05,America West,
2003-05,American Airlines,
2003-05,Austrian Airlines,
2003-05,British Airways,
2003-05,Comair,
2003-05,Continental Airlines,
2003-05,Delta (Song,
2003-05,Delta Air Lines,
2003-05,Frontier Airlines,
2003-05,Japan Airlines,
2003-05,Jet Blue,
2003-05,KLM Royal Dutch Airlines,
2003-05,Lufthansa,
2003-05,Northwest Airlines,
2003-05,Qantus Airways,
2003-05,Southwest Airlines,
2003-05,Spirit Airlines,
2003-05,Sun Country Airlines,
2003-05,UAL,
2003-05,USAir,
2003-05,Virgin Atlantic,
2003-06,Air Canada,
2003-06,Air France,
2003-06,Air Jamaica,
2003-06,AirTran Airlines,
2003-06,Alaska Airlines,
2003-06,Alitalia,
2003-06,Aloha Airlines,
2003-06,America Trans Air,
2003-06,America West,
2003-06,American Airlines,
2003-06,British Airways,
2003-06,Continental Airlines,
2003-06,Delta Air Lines,
2003-06,Frontier Airlines,
2003-06,Hawaiian Airlines,
2003-06,Jet Blue,
2003-06,Lufthansa,
2003-06,Mexicana,
2003-06,Northwest Airlines,
2003-06,Qantus Airways,
2003-06,Singapore Airlines,
2003-06,Southwest Airlines,
2003-06,Spirit Airlines,
2003-06,Swiss Air,
2003-06,Tower Air,
2003-06,UAL,
2003-06,USAir,
2003-07,Aer Lingus,
2003-07,Aero Flot,
