date,airline,Item,Claim Amount
2002-01-04,Continental Airlines,1,1
2002-02-04,American Airlines,1,1
2002-02-07,American Airlines,1,1
2002-02-18,Air Tran Airlines(do not use,1,1
2002-02-18,Delta (Song,1,1
2002-04-30,USAir,1,1
2002-06-20,Southwest Airlines,1,1
2002-07-06,American Airlines,1,1
2002-07-07,AirTran Airlines,1,1
2002-07-08,American Airlines,1,1
2002-07-08,Southwest Airlines,1,1
2002-07-12,American Airlines,1,1
2002-07-22,Northwest Airlines,1,1
2002-07-24,Delta Air Lines,1,1
2002-08-12,Delta Air Lines,1,1
2002-08-17,Southwest Airlines,1,1
2002-08-19,America West,1,1
2002-08-21,Continental Airlines,1,1
2002-08-21,Southwest Airlines,1,1
2002-09-09,Delta Air Lines,1,1
2002-09-09,USAir,1,1
2002-09-16,American Airlines,1,1
2002-09-16,Delta Air Lines,1,1
2002-09-18,American Airlines,1,1
2002-09-18,Continental Airlines,1,1
2002-09-18,Delta Air Lines,1,1
2002-09-18,Jet Blue,1,1
2002-09-18,UAL,1,1
2002-09-19,America West,1,1
2002-09-19,Continental Airlines,1,1
2002-09-19,Southwest Airlines,1,1
2002-09-19,UAL,2,2
2002-09-20,Southwest Airlines,2,2
2002-09-22,British Airways,1,1
2002-09-24,Delta Air Lines,2,2
2002-09-25,Delta Air Lines,1,1
2002-09-27,USAir,2,2
2002-09-30,Southwest Airlines,1,1
2002-09-30,Virgin Atlantic,1,1
2002-10-02,Jet Blue,1,1
2002-10-02,Northwest Airlines,1,1
2002-10-02,Southwest Airlines,1,1
2002-10-08,Southwest Airlines,1,1
2002-10-08,UAL,1,1
2002-10-09,Continental Airlines,1,1
2002-10-09,UAL,1,1
2002-10-15,American Airlines,2,2
2002-10-17,American Airlines,2,2
2002-10-17,Southwest Airlines,1,1
2002-10-17,USAir,1,1
2002-10-17,Virgin Atlantic,1,1
2002-10-21,Delta Air Lines,1,1
2002-10-21,Southwest Airlines,1,1
2002-10-21,USAir,1,1
2002-10-22,USAir,1,1
2002-10-23,American Airlines,2,2
2002-10-23,Delta Air Lines,3,3
2002-10-23,UAL,1,1
2002-10-25,American Airlines,1,1
2002-10-25,Jet Blue,1,1
2002-10-28,American Airlines,1,1
2002-10-28,Southwest Airlines,1,1
2002-10-28,UAL,1,1
2002-10-29,American Airlines,2,2
2002-10-29,Delta Air Lines,1,1
2002-10-29,Southwest Airlines,1,1
2002-10-29,UAL,1,1
2002-10-31,Alaska Airlines,1,1
2002-11-01,Alaska Airlines,1,1
2002-11-01,American Airlines,1,1
2002-11-01,Delta Air Lines,2,2
2002-11-01,Jet Blue,1,1
2002-11-01,USAir,1,1
2002-11-02,Southwest Airlines,1,1
2002-11-04,Aloha Airlines,1,1
2002-11-04,America West,2,2
2002-11-04,American Airlines,1,1
2002-11-04,Continental Airlines,1,1
2002-11-04,Tran Meridian Airlines,1,1
2002-11-05,AirTran Airlines,1,1
2002-11-05,Continental Airlines,2,2
2002-11-05,Delta Air Lines,4,4
2002-11-05,Southwest Airlines,3,3
2002-11-05,UAL,1,1
2002-11-05,USAir,1,1
2002-11-06,Continental Airlines,1,1
2002-11-06,Delta Air Lines,1,1
2002-11-06,Northwest Airlines,1,1
2002-11-06,Spirit Airlines,1,1
2002-11-07,AirTran Airlines,1,1
2002-11-07,America West,1,1
2002-11-07,American Airlines,1,1
2002-11-07,Continental Airlines,1,1
2002-11-07,Delta Air Lines,4,4
2002-11-07,Northwest Airlines,1,1
2002-11-07,UAL,1,1
2002-11-07,USAir,1,1
2002-11-12,American Airlines,1,1
2002-11-12,Continental Airlines,2,2
2002-11-12,Southwest Airlines,3,3
2002-11-12,Spirit Airlines,1,1
2002-11-13,Alaska Airlines,1,1
2002-11-13,America West,1,1
2002-11-13,American Airlines,2,2
2002-11-13,Delta Air Lines,2,2
2002-11-13,Northwest Airlines,2,2
2002-11-13,Southwest Airlines,6,6
2002-11-13,USAir,1,1
2002-11-14,Alaska Airlines,1,1
2002-11-14,American Airlines,3,3
2002-11-14,American West,1,1
2002-11-14,Delta Air Lines,1,1
2002-11-14,Frontier Airlines,1,1
2002-11-14,Southwest Airlines,3,3
2002-11-14,USAir,2,2
2002-11-15,American Airlines,3,3
2002-11-15,Delta Air Lines,3,3
2002-11-15,Northwest Airlines,1,1
2002-11-15,UAL,2,2
2002-11-15,USAir,1,1
2002-11-18,America West,1,1
2002-11-18,American Airlines,1,1
2002-11-18,Jet Blue,1,1
2002-11-18,UAL,1,1
2002-11-18,USAir,2,2
2002-11-19,Southwest Airlines,1,1
2002-11-19,UAL,1,1
2002-11-20,American Airlines,5,5
2002-11-20,Continental Airlines,2,2
2002-11-20,Delta Air Lines,5,5
2002-11-20,Jet Blue,1,1
2002-11-20,Northwest Airlines,3,3
2002-11-20,Southwest Airlines,9,9
2002-11-20,Spirit Airlines,1,1
2002-11-20,UAL,7,7
2002-11-20,USAir,5,5
2002-11-21,America West,1,1
2002-11-21,Jet Blue,1,1
2002-11-21,Northwest Airlines,1,1
2002-11-21,UAL,1,1
2002-11-22,America West,1,1
2002-11-22,American Airlines,1,1
2002-11-22,Delta Air Lines,2,2
2002-11-22,Jet Blue,1,1
2002-11-22,Southwest Airlines,1,1
2002-11-22,UAL,2,2
2002-11-22,USAir,1,1
2002-11-25,Air Canada,1,1
2002-11-25,Alaska Airlines,2,2
2002-11-25,American Airlines,3,3
2002-11-25,Continental Airlines,1,1
2002-11-25,Delta Air Lines,4,4
2002-11-25,Northwest Airlines,3,3
2002-11-25,Southwest Airlines,2,2
2002-11-25,UAL,1,1
2002-11-25,USAir,1,1
2002-11-26,American Airlines,1,1
2002-11-26,Delta Air Lines,1,1
2002-11-26,Northwest Airlines,1,1
2002-11-26,UAL,2,2
2002-11-26,USAir,2,2
2002-11-27,American Airlines,1,1
2002-11-27,UAL,1,1
2002-11-27,USAir,1,1
2002-11-29,America West,1,1
2002-11-29,American Airlines,3,3
2002-11-29,British Airways,1,1
2002-11-29,Continental Airlines,1,1
2002-11-29,Delta Air Lines,1,1
2002-11-29,Northwest Airlines,2,2
2002-11-29,Southwest Airlines,3,3
2002-11-29,UAL,1,1
2002-11-29,USAir,1,1
2002-12-02,American Airlines,1,1
2002-12-02,Delta Air Lines,1,1
2002-12-02,UAL,1,1
2002-12-03,America Trans Air,1,1
2002-12-03,American Airlines,4,4
2002-12-03,Delta Air Lines,5,5
2002-12-03,Jet Blue,1,1
2002-12-03,Northwest Airlines,2,2
2002-12-03,UAL,1,1
2002-12-03,USAir,2,2
2002-12-04,Alaska Airlines,1,1
2002-12-04,American Airlines,1,1
2002-12-04,Continental Airlines,1,1
2002-12-04,Delta Air Lines,3,3
2002-12-04,Southwest Airlines,3,3
2002-12-04,UAL,1,1
2002-12-05,American Airlines,1,1
2002-12-05,Continental Airlines,1,1
2002-12-05,Delta Air Lines,1,1
