ID,Date,URL,Source,Entreprise,Titre,Technologies,Diplôme,#année expérience,Competences
161421,"Mon, 27 Nov 2017 15:23:16 Z",https://stackoverflow.com/jobs/161421/aws-software-architect-dormakaba-schweiz-ag?a=S8peywF10go,stackoverlow.com,dormakaba Schweiz AG ,AWS Software Architect ,"amazon-web-services,cloud",,,
161448,"Thu, 23 Nov 2017 13:51:58 Z",https://stackoverflow.com/jobs/161448/software-engineer-for-artificial-general-nnaisense?a=S8Y2BHc6BZS,stackoverlow.com,"NNAISENSE (Lugano, Switzerland) ",Software Engineer for Artificial General Intelligence ,"c++,multithreading,networking,artificial-intelligence",,,
161402,"Wed, 22 Nov 2017 11:22:59 Z",https://stackoverflow.com/jobs/161402/cloud-developer-aws-azure-dormakaba-schweiz-ag?a=S80JVyqULbW,stackoverlow.com,dormakaba Schweiz AG ,Cloud Developer AWS/Azure ,"reactjs,node.js,javascript,amazon-web-services,azure",,,
162365,"Mon, 04 Dec 2017 17:27:53 Z",https://stackoverflow.com/jobs/162365/application-support-analyst-vice-president-jp-morgan-chase?a=Ss2cpWNO8mc,stackoverlow.com,JP Morgan Chase ,Application Support Analyst - Vice President ,java,,,
159631,"Wed, 06 Dec 2017 13:32:51 Z",https://stackoverflow.com/jobs/159631/quantitative-analyst-circular-capital?a=RxbDL783tbq,stackoverlow.com,Circular Capital ,Quantitative Analyst ,"machine-learning,python,c++,c++17,artificial-intelligence",,,
162110,"Thu, 30 Nov 2017 14:28:32 Z",https://stackoverflow.com/jobs/162110/imaging-algorithm-expert-leica-geosystems?a=SmJsP7xvBLi,stackoverlow.com,Leica Geosystems ,Imaging Algorithm Expert ,"matlab,hdr",,,
156927,"Tue, 07 Nov 2017 22:55:40 Z",https://stackoverflow.com/jobs/156927/software-engineer-full-stack-spotme?a=QCXKW1BvVuw,stackoverlow.com,SpotMe ,"Software Engineer, Full-stack ","angularjs,node.js,javascript,nosql",,,
156312,"Fri, 01 Dec 2017 02:32:31 Z",https://stackoverflow.com/jobs/156312/software-engineer-backend-spotme?a=QqaVkgyFX7a,stackoverlow.com,SpotMe ,"Software Engineer, Backend ","node.js,javascript,nosql",,,
154003,"Tue, 07 Nov 2017 22:43:11 Z",https://stackoverflow.com/jobs/154003/ux-designer-chatroulette?a=PEafZtEKPBe,stackoverlow.com,roulette ,UX Designer at Ch,"html,css",,,
137126,"Thu, 30 Nov 2017 11:44:06 Z",https://stackoverflow.com/jobs/137126/system-engineer-epfl-blue-brain-project?a=JZf8bf0t6Vy,stackoverlow.com,EPFL - Blue Brain Project ,System Engineer ,"java,scala,rdbms,nosql,akka",,,
128733,"Wed, 15 Nov 2017 14:04:02 Z",https://stackoverflow.com/jobs/128733/software-engineer-frontend-spotme?a=HaJdZvaPw6A,stackoverlow.com,SpotMe ,"Software Engineer, Frontend ","angularjs,node.js,javascript,nosql",,,
158671,"Sat, 25 Nov 2017 09:57:47 Z",https://stackoverflow.com/jobs/158671/django-developer-zurich-divio?a=Rde33inhBLy,stackoverlow.com,Divio ,Django Developer (Zurich) ,"python,postgres,cloud,django-cms",,,
157691,"Thu, 16 Nov 2017 10:46:42 Z",https://stackoverflow.com/jobs/157691/senior-software-engineer-nx-engineering-bloomberg?a=QSQFMYR2kH6,stackoverlow.com,Bloomberg ,Senior Software Engineer - nX engineering  ,"c++,stl",,,
